Gym Class,Tag,Category,Preparation,Gym,Capacity
Barre Express,"Zen,Toning",Barre,Just bring yourself and smile!,,
Spinning® Express,"Energy,Intensity,Cardio",Spinning,Bring a personal towel as well as a water bottle. Stay hydrated!,,
Yoga - Hatha Flow,"Zen,Toning",Yoga,Just bring yourself and smile!,,
Aqua ZUMBA®,"Intensity,Cardio,Energy",Dance,Just bring yourself and smile!,,
ZUMBA®,"Intensity,Cardio,Energy",Dance,Just bring yourself and smile!,,
Yoga - Vinyasa,"Zen,Toning",Yoga,Just bring yourself and smile!,,
Power H.I.I.T.,"Energy,Intensity,Cardio,Strength","H.I.I.T,Strength Training",Just bring yourself and get ready to sweat!,,
TRX® Circuit,"Intensity,Cardio,Strength","H.I.I.T,Strength Training", Footwear that is appropriate for movement is required,,
Cardio Dance,"Intensity,Cardio,Energy",Dance,Footwear that is appropriate for movement is required for this class,,
Spinning®,"Energy,Intensity,Cardio",Spinning,Bring a personal towel as well as a water bottle. Stay hydrated!,,
Abs +,"Toning,Strength","H.I.I.T,Strength Training",Just bring yourself and smile!,,
Pure Strength,"Toning,Strength","H.I.I.T,Strength Training",Footwear that is appropriate for movement is required for this class,,
Muscle Pump,"Toning,Strength,Cardio","H.I.I.T,Strength Training",Footwear that is appropriate for movement is required for this class,,
T'ai Chi,"Energy,Zen",T'ai Chi,Just bring yourself and smile!,,
Yoga - Rockin' Flow,"Energy,Zen,Toning",Yoga,Just bring yourself and smile!,,
ShockWave,"Energy,Intensity,Cardio","H.I.I.T,Strength Training",Just bring yourself and smile!,,
Yoga - Ashtanga,"Zen,Toning",Yoga,Just bring yourself and smile!,,
Power H.I.I.T. Express,"Toning,Strength,Cardio","H.I.I.T,Strength Training",Just bring yourself and get ready to sweat!,,
TRX® Express,"Toning,Strength,Cardio,Energy","H.I.I.T,Strength Training", Footwear that is appropriate for movement is required,,
UrbanKick® & H.I.I.T.,"Toning,Strength,Cardio,Energy","H.I.I.T,Strength Training,Cardio Training",Just bring yourself and get ready to sweat!,,
INSANITY LIVE®,"Toning,Strength,Energy","H.I.I.T,Strength Training",Just bring yourself and get ready to sweat!,,
Barre,"Zen,Toning",Barre,Just bring yourself and smile!,,
Yoga - Iyengar,"Zen,Toning",Yoga,Just bring yourself and smile!,,
Hydro Training,"Zen,Toning,Energy","Strength Training,Cardio Training",Just bring yourself and smile!,,
Body Blast,"Toning,Energy,Strength,Cardio","H.I.I.T,Strength Training,Cardio Training",Footwear that is appropriate for movement is required for this class,,
Pilates - Mat,"Zen,Toning,Energy",Yoga,Just bring yourself and smile!,,
Yoga - Prenatal,"Zen,Toning",Yoga,Just bring yourself and smile!,,
ZUMBA® Toning,"Intensity,Cardio,Energy,Toning",Dance,Footwear that is appropriate for movement is required for this class,,
OULA®,"Intensity,Cardio,Energy",Dance,Footwear that is appropriate for movement is required for this class,,
Yoga - Mellow Flow,"Zen,Toning,Energy",Yoga,Just bring yourself and smile!,,
TRX® Super Sculpt,"Intensity,Cardio,Strength,Toning","H.I.I.T,Strength Training",Footwear that is appropriate for movement is required for this class,,
Cardio Fuego,"Intensity,Cardio,Energy","H.I.I.T,Strength Training,Cardio Training",Footwear that is appropriate for movement is required for this class,,
Spinning® Power Hour,"Intensity,Cardio,Energy",Spinning,Bring a personal towel as well as a water bottle. Stay hydrated!,,
